cliff_pair_a,cliff_pair_b
Fc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1,OCc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1
O=C(NC1CCN(CCCCc2ccccc2)CC1)c1ccc2ccccc2c1,O=C(NC1CCN(Cc2ccccc2)CC1)c1ccc2ccccc2c1
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(Br)cc2)CC1,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(CCF)cc2)CC1
CC(C)OC(=O)C1=CN(C(=O)c2ccc(OCCCN3CCOCC3)cc2)CC(C)(C)c2c1[nH]c1ccccc21,CC(C)OC(=O)C1=CN(C(=O)c2ccc(OCCN3CCCCC3)cc2)CC(C)(C)c2c1[nH]c1ccccc21
COc1ncc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)[C@H](C)O)CC2)c(=O)n4C)cn1,COc1ncc(-c2ccc3ncc4c(c3n2)n(C2CCN(C)CC2)c(=O)n4C)cn1
Cc1ccc(CO)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,Cc1ccc(Cl)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
Cc1ccc(O)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,Cc1ccc(C(C)O)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
COc1cccc(C(=O)CCCCN2CCN(c3ccccc3OC)CC2)c1,COc1cccc(C(=O)NCCCN2CCN(c3ccccc3OC)CC2)c1
CN(C)c1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(N)=O)CC2)c(=O)n4C)cn1,CN1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(N(C)C)nc5)nc4c32)CC1
CCCc1cc(-c2nc(C)c(C(C)=O)s2)ccc1OCCCOc1ccc2c(c1)CC[C@H]2CC(=O)O,CCCc1cc(-c2nc(CO)c(C(=O)O)s2)ccc1OCCCOc1ccc2c(c1)CC[C@H]2CC(=O)O
Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4ccc(Cl)cc4)s2)N3C)cc1,CN1[C@H]2CC[C@@H]1[C@@H](c1ncc(-c3ccc([N+](=O)[O-])cc3)s1)[C@@H](c1ccc(Cl)cc1)C2
Cc1ccc(CO)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,Cc1ccc(C)c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1
Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1,COc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1
COc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCOCC2)c(=O)n4C)cn1,COc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCOCC2)c(=O)n4CCO)cn1
COc1cccc(C(=O)CCCCN2CCN(c3ccccc3OC)CC2)c1,COc1cccc(C(=O)NCCCCN2CCN(c3ccccc3OC)CC2)c1
Cc1cc(N)ncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,Cc1cc(CO)ncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
COc1cccc(C(=O)NCCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,COc1cccc(C(=O)CCCCCN2CCN(c3ccc(Cl)cc3)CC2)c1
CCO[C@@H](Cc1cccc(/C(C)=N/OCc2ccc(O)cc2)c1)C(=O)O,CCO[C@@H](Cc1cccc(/C(C)=N/OCc2ccc(I)cc2)c1)C(=O)O
Cc1nc(-c2cc(Cl)cnc2Nc2cccc3[nH]ncc23)c2nc[nH]c2n1,Cc1nc(-c2cc(CO)cnc2Nc2cccc3[nH]ncc23)c2nc[nH]c2n1
Fc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1,COc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1
COc1cccc(C(=O)CCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,COc1cccc(C(=O)NCCCCCN2CCN(c3ccc(Cl)cc3)CC2)c1
Clc1ccc(N2CCN(Cc3cnn(-c4ccccc4)c3)CC2)cc1,Clc1ccc(-n2cc(COCCN3CCN(c4ccccc4)CC3)cn2)cc1
Oc1ccc(CN2CCO[C@H](CCc3ccccc3)C2)cc1,Fc1ccc(CN2CCOC(CCc3ccccc3)C2)cc1
CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2C(=N)N)cc(C(C)=O)c1,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CC(N)=O)cc(C(C)=O)c1
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,Cc1ccncc1-c1ccc2cc(NC(=O)C3CCN(C)CC3)ncc2c1
CCc1ccccc1-c1ccc(O[C@@H](Cc2ccccc2)C(=O)O)cc1,COc1ccccc1-c1ccc(O[C@@H](Cc2ccccc2)C(=O)O)cc1
O=C(Nc1cc2ccc(-c3cnccc3Cl)cc2cn1)C1CC1,COc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
O=Cc1cnn2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12,O/N=C/c1cnn2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12
Cc1ccc(O)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,COc1ccc(C)c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(Br)cc2)CC1,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(N(C)C)cc2)CC1
CNC(=O)c1cc2cc(C3(Cc4ccccc4)CCNC3)ccc2[nH]1,NC(=O)c1cc2cc(C3(Cc4ccccc4)CCNC3)ccc2[nH]1
CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(COc2cccc(C#N)c2)cc1,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(COc2cccc(C(=O)O)c2)cc1
CCCc1c(OCCCSc2ccc(CC(=O)O)cc2Cl)ccc(/C(CC)=N/O)c1O,CCCc1c(OCCCSc2ccc(CC(=O)O)cc2Cl)ccc(C(C)=O)c1O
CC(=O)[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,NC(=O)[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2
Cc1cc(C(=O)O)ccc1NC(=O)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,O=C(O)c1ccc(NC(=O)C(C2CCCCC2)n2c(-c3ccc(Cl)cc3)nc3cc(F)c(F)cc32)nc1
Clc1ccc(-c2cc(C3CCN(Cc4ccccc4)CC3)[nH]n2)cc1,Clc1ccc(-c2cc(C3CCN(CCCc4ccccc4)CC3)[nH]n2)cc1
Cc1cc(CNC(=O)c2cc(-c3ccc(-c4ccoc4)cc3)n(C)n2)ccc1OC(C)(C)C(=O)O,Cc1cc(CNC(=O)c2cc(-c3ccc(-c4ccncc4)cc3)n(C)n2)ccc1OC(C)(C)C(=O)O
CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2C(=N)N)cc(C(C)=O)c1,CCC(=O)N1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cc(C(C)=O)cc(C(C)=O)c1
CC(=O)Nc1nc2ccc(-c3ccnc(Nc4ccccc4)n3)cc2s1,CC(=O)Nc1nc2ccc(-c3ccnc(NCc4ccccc4)n3)cc2s1
CC(C)(C)c1ccc(C(=O)NCc2ccc(C(=O)O)cc2)cc1,CC(C)(C)c1ccc(C(=O)NCc2ccc(C(N)=O)cc2)cc1
O=C(N[C@H]1CC[C@H](O)CC1)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,O=C(O)C[C@H]1CC[C@H](NC(=O)[C@H](C2CCCCC2)n2c(-c3ccc(Cl)cc3)nc3cc(F)c(F)cc32)CC1
CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(OCCc3ccccc3)cc2)c1)C(=O)O,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(Oc3ccccc3)cc2)c1)C(=O)O
Cc1ccc(NC(=O)c2ccccc2NC(=O)c2ccc(C(C)(C)C)cc2)cc1C(=O)O,CC(C)(C)c1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(Br)c(C(=O)O)c2)cc1
CCCCOc1ccc(CC(CCC)C(=O)O)cc1CNC(=O)c1ccc(C(F)(F)F)cc1F,CCCC(Cc1ccc(OC)c(CNC(=O)c2ccc(C(F)(F)F)cc2F)c1)C(=O)O
Clc1ccc(OCCNCCCOc2ccc(Br)cc2)cc1,Fc1ccc(OCCCNCCOc2ccc(Cl)cc2)cc1
CNC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(N(C)C)nc5)nc4c32)CC1,CN1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(N(C)C)nc5)nc4c32)CC1
COc1cc(/C=C/C(=O)c2ccc3c(c2)sc(=O)n3CCOc2ccc(CC(OCC(F)(F)F)C(=O)O)cc2)cc(OC)c1,COc1cc(/C=C/c2ccc3c(c2)sc(=O)n3CCOc2ccc(CC(OCC(F)(F)F)C(=O)O)cc2)cc(OC)c1
COC(C)(C)[C@H](O)[C@@H](O)C[C@@H](C)C1=C2C[C@H](O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1,CCCCOC(C)(C)[C@H](O)[C@@H](O)C[C@@H](C)C1=C2C[C@H](O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1
Fc1ccc(C(OC2CC3CCC(C2)N3CCOCc2ccccc2)c2ccc(F)cc2)cc1,Fc1ccc(C(OC2CC3CCC(C2)N3CCCOc2ccccc2)c2ccc(F)cc2)cc1
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,O=C(Nc1cc2ccc(-c3ccncc3Cl)cc2cn1)C1CC1
COc1ccc2c(c1)CCCN(C)CCCc1ccccc1C2,COc1ccc2c(c1)CCN(C)CCc1ccccc1C2
Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1,Nc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1
C[C@H](CCC(=O)O)C1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@@H](O)CC1[C@@H](C)[C@H]3O,CO[C@@H]1C2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)C([C@H](C)CCC(=O)O)CC[C@H]3[C@@H]2[C@@H]1O
Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)Nc1ccc(OC(C)(C)C(=O)O)cc1,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCCc1ccc(OC(C)(C)C(=O)O)cc1
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(F)cc2)CC1,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(N(C)C)cc2)CC1
O=C(O)c1ccc2nc(N3CCC(OCc4c(-c5ccccc5C(F)(F)F)noc4C4CC4)CC3)sc2c1,O=C(O)c1ccc2nc(N3CCCC(OCc4c(-c5ccccc5OC(F)(F)F)noc4C4CC4)CC3)sc2c1
C=C(Cc1ccccc1)CN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1,O=C(Cc1ccccc1)CN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1
N#Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
Fc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1,Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1
Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,COc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
C[C@H](CCC(=O)O)C1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]1(C)CC[C@@H](O)CC1[C@@H](CCO)[C@H]3O,C#CC[C@@H]1C2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)C([C@H](C)CCC(=O)O)CC[C@H]3[C@@H]2[C@@H]1O
Cc1nc(-c2ccc(N)cc2)sc1C(=O)NCc1ccc(OC(C)(C)C(=O)O)cc1,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCc1ccc(OC(C)(C)C(=O)O)cc1
CCO[C@@H](Cc1cccc(/C(C)=N/OCc2ccc(OC)cc2)c1)C(=O)O,CCO[C@@H](Cc1cccc(/C(C)=N/OCc2ccc(O)cc2)c1)C(=O)O
Cc1cnccc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,O=C(Nc1cc2ccc(-c3cnccc3Cl)cc2cn1)C1CC1
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(F)cc2)CC1,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(CCF)cc2)CC1
CN(C)c1ccc(-c2ccc3ncc4c(c3n2)n(C2CCOCC2)c(=O)n4C)cn1,CN(C)c1ccc(-c2ccc3ncc4c(c3n2)n(C2CCOCC2)c(=O)n4CCO)cn1
Cc1nc(-c2ccc(N)cc2)sc1C(=O)NCc1ccc(OC(C)(C)C(=O)O)cc1,Cc1nc(-c2ccc(F)cc2)sc1C(=O)NCc1ccc(OC(C)(C)C(=O)O)cc1
CCO[C@@H](Cc1cccc(/C(C)=N/OCc2ccc(O)cc2)c1)C(=O)O,CCO[C@@H](Cc1cccc(/C(C)=N/OCc2ccc(Br)cc2)c1)C(=O)O
CC(=O)c1cccc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CCO)c1,CC(=O)c1cccc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2C)c1
CCCc1c(OCCCCOc2cccc(C(=O)O)c2)ccc2c(-c3ccccc3)noc12,CCCc1c(OCCCCOc2cccc(OC(C)(C)C(=O)O)c2)ccc2c(-c3ccccc3)noc12
Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(-c4ccc(Cl)cc4)oc3C)c2)cc1,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(-c4ccc(Cl)cc4)sc3C)c2)cc1
CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)C1CCn2ncc(Cl)c2C1,CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)C1CCn2ncc(C=O)c2C1
N#Cc1c(N2CCOCC2)sc(C(=O)O)c1-c1ccc(Cl)cc1,N#Cc1c(N2CCOCC2)sc(C(N)=O)c1-c1ccc(Cl)cc1
Cc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCOCC2)c(=O)n4C)cn1,Cc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCOCC2)c(=O)n4CCO)cn1
Cc1ccccc1OCCNCCCOc1ccccc1,Clc1ccccc1OCCNCCCOc1ccccc1
Cc1ccc(O)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,Cc1ccc(Cl)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
Cc1c(Cl)cccc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,Cc1c(O)cccc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
COc1cccc2c1CCN2C(=O)CN1CCN(Cc2ccc(Cl)cc2)CC1,Cc1cccc2c1CCN2C(=O)CN1CCN(Cc2ccc(Cl)cc2)CC1
CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(F)nc(N)nc21,CCc1nc(N)nc2c1c(-c1ccc3oc(N)nc3c1)nn2C(C)C
Cc1ccc(O)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,Cc1ccc(C)c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1
CN(Cc1cccc(F)c1)[C@H]1C2C3CC4C5C3CC2C5C41,CN(CCc1cccc(F)c1)[C@H]1C2C3CC4C5C3CC2C5C41
Fc1cc(N2CCNCC2Cc2ccccc2)cc2cc[nH]c12,COc1cc(N2CCNCC2Cc2ccccc2)cc2cc[nH]c12
C=C(Cc1ccccc1)CN1CCN(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,O=C(Cc1ccccc1)CN1CCN(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
